gene,segments,breakpoints,accepted,match_before,match_after,n_variants
RAD51C,1,0:+0,False,1.0,1.0,86
RAD51D,1,0:+0,False,1.0,1.0,13
TSC2,1,0:+0,False,1.0,1.0,374
PEX1,1,0:+0,False,1.0,1.0,48
FGFR2,1,0:+0,False,1.0,1.0,98
NF1,1,0:+0,False,1.0,1.0,507
GLA,1,0:+0,False,1.0,1.0,566
SDHD,1,0:+0,False,1.0,1.0,30
GALT,1,0:+0,False,1.0,1.0,143
NPC1,1,0:+0,False,1.0,1.0,220
HEXA,1,0:+0,False,1.0,1.0,77
SDHB,1,0:+0,False,1.0,1.0,82
MMACHC,1,0:+0,False,1.0,1.0,45
ASS1,1,0:+0,False,1.0,1.0,80
GDAP1,1,0:+0,False,1.0,1.0,35
FH,1,0:+0,False,1.0,1.0,169
COL3A1,1,0:+0,False,1.0,1.0,586
TGFBR2,1,0:+0,False,1.0,1.0,114
PRKN,1,0:+0,False,1.0,1.0,33
CRB1,1,0:+0,False,1.0,1.0,197
TSC1,1,0:+0,False,1.0,1.0,107
HADHA,1,0:+0,False,1.0,1.0,29
PRKAG2,1,0:+0,False,1.0,1.0,37
LMNA,1,0:+0,False,1.0,1.0,223
RYR2,1,0:+0,False,1.0,1.0,284
POLE,1,0:+0,False,1.0,1.0,76
POLD1,1,0:+0,False,1.0,1.0,48
DSP,1,0:+0,False,1.0,1.0,143
TMEM43,1,0:+0,False,1.0,1.0,17
PCSK9,1,0:+0,False,1.0,1.0,41
CACNA1S,1,0:+0,False,1.0,1.0,89
BMPR1A,1,0:+0,False,1.0,1.0,28
DSC2,1,0:+0,False,1.0,1.0,20
DSG2,1,0:+0,False,1.0,1.0,46
KCNH2,1,0:+0,False,1.0,1.0,191
DMD,1,0:+0,False,1.0,1.0,385
RHO,1,0:+0,False,1.0,1.0,139
BARD1,1,0:+0,False,1.0,1.0,55
CHD7,1,0:+0,False,1.0,1.0,403
SMAD3,1,0:+0,False,1.0,1.0,43
NBN,1,0:+0,False,1.0,1.0,31
TNFRSF1A,1,0:+0,False,1.0,1.0,44
AXIN2,1,0:+0,False,1.0,1.0,31
MYL2,1,0:+0,False,1.0,1.0,12
APOB,1,0:+0,False,1.0,1.0,382
MSH2,1,0:+0,False,1.0,1.0,438
PALB2,1,0:+0,False,1.0,1.0,86
GAA,1,0:+0,False,1.0,1.0,261
TP53,1,0:+0,False,1.0,1.0,383
PAH,1,0:+0,False,1.0,1.0,494
MYBPC3,1,0:+0,False,1.0,1.0,69
ATM,1,0:+0,False,1.0,1.0,260
MSH6,1,0:+0,False,1.0,1.0,147
LDLR,1,0:+0,False,1.0,1.0,735
SDHC,1,0:+0,False,1.0,1.0,20
KCNE1,1,0:+0,False,1.0,1.0,10
OTC,1,0:+0,False,1.0,1.0,276
FLCN,1,0:+0,False,1.0,1.0,27
PDGFRA,1,0:+0,False,1.0,1.0,34
SERPINA1,1,0:+0,False,1.0,1.0,68
TGFBR1,1,0:+0,False,1.0,1.0,61
ACTA2,1,0:+0,False,1.0,1.0,31
ALK,1,0:+0,False,1.0,1.0,95
JUP,1,0:+0,False,1.0,1.0,11
SUFU,1,0:+0,False,1.0,1.0,12
COL1A2,1,0:+0,False,1.0,1.0,567
SMPD1,1,0:+0,False,1.0,1.0,157
RB1,1,0:+0,False,1.0,1.0,104
SDHA,1,0:+0,False,1.0,1.0,47
CASQ2,1,0:+0,False,1.0,1.0,16
GRIN2A,1,0:+0,False,1.0,1.0,293
TARDBP,1,0:+0,False,1.0,1.0,25
COL2A1,1,0:+0,False,1.0,1.0,603
RUNX2,1,0:+0,False,1.0,1.0,44
KIT,1,0:+0,False,1.0,1.0,53
PSEN2,1,0:+0,False,1.0,1.0,17
MPZ,1,0:+0,False,1.0,1.0,91
GJB1,1,0:+0,False,1.0,1.0,162
SOD1,1,0:+0,False,1.0,1.0,116
ABCD1,1,0:+0,False,1.0,1.0,286
MYH11,1,0:+0,False,1.0,1.0,24
COL1A1,1,0:+0,False,1.0,1.0,570
KCNE2,1,0:+0,False,1.0,1.0,4
KCNJ2,1,0:+0,False,1.0,1.0,56
KCNQ2,1,0:+0,False,1.0,1.0,390
MYLK,1,0:+0,False,1.0,1.0,46
EPCAM,1,0:+0,False,1.0,1.0,30
GRN,1,0:+0,False,1.0,1.0,19
PSEN1,1,0:+0,False,1.0,1.0,136
MEN1,1,0:+0,False,1.0,1.0,156
GRIN2B,1,0:+0,False,1.0,1.0,290
PINK1,1,0:+0,False,1.0,1.0,19
MTHFR,1,0:+0,False,1.0,1.0,61
STK11,1,0:+0,False,1.0,1.0,54
SYNGAP1,1,0:+0,False,1.0,1.0,190
APP,1,0:+0,False,1.0,1.0,46
DPYD,1,0:+0,False,1.0,1.0,14
MITF,1,0:+0,False,1.0,1.0,31
MYL3,1,0:+0,False,1.0,1.0,4
PROC,1,0:+0,False,1.0,1.0,68
PARK7,1,0:+0,False,1.0,1.0,11
WAS,1,0:+0,False,1.0,1.0,71
NF2,1,0:+0,False,1.0,1.0,13
SLCO1B1,1,0:+0,False,1.0,1.0,11
PMP22,1,0:+0,False,1.0,1.0,36
FUS,1,0:+0,False,1.0,1.0,29
SHANK3,1,0:+0,False,1.0,1.0,72
CDK4,1,0:+0,False,1.0,1.0,15
FMR1,1,0:+0,False,1.0,1.0,19
HBA1,1,0:+0,False,1.0,1.0,35
CHD8,1,0:+0,False,1.0,1.0,144
HFE,1,0:+0,False,1.0,1.0,4
PROS1,1,0:+0,False,1.0,1.0,43
SNCA,1,0:+0,False,1.0,1.0,8
ATXN1,1,0:+0,False,1.0,1.0,19
SMN1,1,0:+0,False,1.0,1.0,26
ATXN3,1,0:+0,False,1.0,1.0,4
BEST1,1,0:+0,False,1.0,1.0,241
C9ORF72,1,0:+0,False,1.0,1.0,3
CYP2D6,1,0:+0,False,1.0,1.0,10
PHOX2B,1,0:+0,False,1.0,1.0,11
CYP2C19,1,0:+0,False,1.0,1.0,3
GREM1,1,0:+0,False,1.0,1.0,3
TPMT,1,0:+0,False,1.0,1.0,1
